Energy_eV PDF
7.341301735477317125e+05 1.225758244094287894e-02
7.547395742307287874e+05 1.300150083478092931e-02
7.759275472321195994e+05 1.385319688762844635e-02
7.977103349421015009e+05 1.420352077588488138e-02
8.201046357271261513e+05 1.369715565458244459e-02
8.431276167306243442e+05 1.274198280965633742e-02
8.667969270330875879e+05 1.172733485068169247e-02
8.911307111815931275e+05 1.085502531160390666e-02
9.161476230991516495e+05 1.013827886967123316e-02
9.418668403845288558e+05 9.218287828737943210e-03
9.683080790135130519e+05 7.823161492321649077e-03
9.954916084528950742e+05 6.732694192811720588e-03
1.023438267198741785e+06 7.042165024113729646e-03
1.052169478750884300e+06 7.917758257444331912e-03
1.081707268035862129e+06 8.831189438690075291e-03
1.112074278290907387e+06 9.559010368580081116e-03
1.143293788421916310e+06 1.010373625933343698e-02
1.175389730848722160e+06 1.052827408938213083e-02
1.208386709851338295e+06 1.084627722876605437e-02
1.242310020431238459e+06 1.093314872099070134e-02
1.277185667702131905e+06 1.008795100468138327e-02
1.313040386825106340e+06 7.322216026666886896e-03
1.349901663503412623e+06 9.134792482892737167e-03
1.387797755052602151e+06 1.008872827128929651e-02
1.426757712062166771e+06 1.025854320988764216e-02
1.466811400665300433e+06 1.027434347634771650e-02
1.507989525433841627e+06 9.970643102130407817e-03
1.550323652915945277e+06 9.782068627266181371e-03
1.593846235834540101e+06 9.629025580224357533e-03
1.638590637965105940e+06 8.752376963799870721e-03
1.684591159711859887e+06 9.502905866703510035e-03
1.731883064401946962e+06 9.561593514102210631e-03
1.780502605317788664e+06 9.600605220814240059e-03
1.830487053488314617e+06 8.596930577330555781e-03
1.881874726260391995e+06 8.164336880721181217e-03
1.934705016672347207e+06 8.066838318611173689e-03
1.989018423652088735e+06 8.419592506656841530e-03
2.044856583062989637e+06 8.372963541646329111e-03
2.102262299621334299e+06 8.331802633738919980e-03
2.161279579709792510e+06 8.309329195191126130e-03
2.221953665112065151e+06 8.401073089813566527e-03
2.284331067694568541e+06 8.832329838152913268e-03
2.348459605061756447e+06 9.487350178942097548e-03
2.414388437212399207e+06 8.697766082211207464e-03
2.482168104224914685e+06 8.131474301921865627e-03
2.551850565000656061e+06 7.988909062448062981e-03
2.623489237094840966e+06 7.892908618365187742e-03
2.697139037665668875e+06 7.665077248420741618e-03
2.772856425573020708e+06 7.335066686280970749e-03
2.850699444658986293e+06 6.963640852035965327e-03
2.930727768243422732e+06 6.825498131385407917e-03
3.013002744868651032e+06 6.710544605488027482e-03
3.097587445328358561e+06 6.643322264428843521e-03
3.184546711016741581e+06 6.205968386410948452e-03
3.273947203634961508e+06 5.648284804397663873e-03
3.365857456293039490e+06 5.413836176836119528e-03
3.460347926046338864e+06 5.256077642718780599e-03
3.557491047906910069e+06 5.142355169023131792e-03
3.657361290371102281e+06 5.007420990481539942e-03
3.760035212506030221e+06 4.806643917635649091e-03
3.865591522638645023e+06 4.999814982612738566e-03
3.974111138692377135e+06 4.958668627522162982e-03
4.085677250217624940e+06 5.194865923708989405e-03
4.200375382163655944e+06 4.780355848468892388e-03
4.318293460440790281e+06 4.489856744224307583e-03
4.439521879323104396e+06 4.387578771708638449e-03
4.564153570743367076e+06 4.328422898789846540e-03
4.692284075533291325e+06 4.324365394617394470e-03
4.824011616663739085e+06 4.088577924105244940e-03
4.959437174541031942e+06 4.028919559036184261e-03
5.098664564417039976e+06 3.651633207789977981e-03
5.241800515972422436e+06 3.642067155442341858e-03
5.388954755134059116e+06 3.482402417638252867e-03
5.540240088189339265e+06 3.292829965569753214e-03
5.695772488261815161e+06 3.022837743004124379e-03
5.855671184214476496e+06 2.911071576478067423e-03
6.020058752048874274e+06 2.794609961180225238e-03
6.189061208870097995e+06 2.693470027092111866e-03
6.362808109489636496e+06 2.500412273607376373e-03
6.541432645740186796e+06 2.411995430619938690e-03
6.725071748578577302e+06 2.166076607835044736e-03
6.913866193055048585e+06 2.035525871221951187e-03
7.107960706229330972e+06 1.863572819184683600e-03
7.307504078116306104e+06 1.673709249381390759e-03
7.512649275746230036e+06 1.573554469076378880e-03
7.723553560427037999e+06 1.427108212882845315e-03
7.940378608298577368e+06 1.325177409572527668e-03
8.163290634271161631e+06 1.206513220551711212e-03
8.392460519443467259e+06 1.076547613282041868e-03
8.628063942097498104e+06 9.769625433024085436e-04
8.870281512371014804e+06 8.677327908630261830e-04
9.119298910710597411e+06 7.689735048820238277e-04
